ALUMINIUM HYDROXIDE,"Oral suspension: Aluminium hydroxide 250 mg/5 ml and Magnesium hydroxide 250 mg/5 ml; Tablets/Gel: may contain simethicone, and some contain algenic acid",Ulcer and non ulcer dyspepsia; gastro-oesophageal reflux.,"Hypophosphatemia, undiagnosed GI or rectal bleeding, appendicitis, porphyria, renal impairment (aluminium may accumulate), constipation, hepatic impairment, dehydration.",Tablets: 1-2 tablets chewed 4 times a day and at bed time or as required; Suspension: 5-10 ml 4 times daily between meals and at bedtime; Children (6-12 years): up to 5 ml 3 times daily,"Constipation, haemorrhoids, fissures, faecal impaction","Decreases absorption of digoxin, azithromycin, ciprofloxacin, norfloxacin, rifampicin, tetracycline, isoniazid Patient information: Take with water to decrease constipation"
PROPRANOLOL,"Tablet: 10 mg, 20 mg, 40 mg, 80 mg. Injection:
1 mg/ml","Chronic stable angina, hypertension, secondary prevention after
acute myocardial infraction, anxiety, thyrotoxicosis, migraine prophylaxis,
pheochromocytoma (only with alpha blocker), prophylaxis of variceal
bleeding in portal hypertension, hypertrophic obstructive cardiomyopathy,
mitral valve prolapse, essential tremor, child with cyanotic spells or
hypertension or infantile hemangioma","Avoid in history of asthma or bronchospasm
(if no alternative, then use with extreme caution and under specialist
supervision), uncontrolled heart failure, prinzemetal angina, bradycardia
(heart rate <50 bpm), hypotension, sick sinus syndrome, second and third
degree atrioventricular block, cardiogenic shock, metabolic acidosis, severe
peripheral arterial disease, pheochromocytoma (unless used with an alpha
blocker). Use caution in patients with first –degree atrioventricular block,
portal hypertension, renal impairment (reduce dose), diabetes mellitus (small
decrease in glucose tolerance, which can mask symptoms of hypoglycemia),
history of hypersensitivity and myasthenia gravis, obstructive airway
disease, portal hypertension, psoriasis. Pregnancy- avoid (IUGR, neonatal
hypoglycemia and bradycardia). Breast feeding: avoid. Monitor lung function
in inadequate cardiac function and bronchospasm disease. Symptoms of
hypoglycemia and thyrotoxicosis may get masked. Assess weight daily, watch
for CHF (rales/crackles, jugular vein distension, weight gain, and edema).
Abrupt withdrawal of drug may exacerbate angina symptoms or precipitate
myocardial infarction in patients with coronary artery disease. Use caution in
inadequate cardiac function and bronchospastic disease. Reduce oral
dose in renal and hepatic impairment. Pregnancy (C) breast feeding: safety
not established. Do not discontinue abruptly; as dysrhythmia, angina,
myocardial ischemia may occur so taper over at least a few weeks. Symptoms
of hypoglycemia may get masked- monitor blood glucose.","• Hypertension: Oral, adult: initially 80 mg twice daily, increased at weekly
intervals as required; maintenance dose 160-320 mg daily. Oral, child: 1-4
mg/kg/day in 3-4 divided doses.
• Prophylaxis of variceal bleeding in portal hypertension: Oral, adult: initially
40 mg twice daily increased to 80 mg twice daily according to heart rate;
maximum dose 160 mg twice daily.
• Pheochromocytoma (only with an alpha blocker): Oral, adult: 60 mg daily
for 3 days before surgery. 30 mg daily for patients not fit for surgery
• Angina: Oral, adult: initially 40 mg 2-3 time daily; maintenance 120-240 mg
daily.
• Arrhythmias, hypertrophic obstructive cardiomyopathy, anxiety,
tachycardia and thyrotoxicosis (adjunct): Oral, adult: 10-40 mg in 3-4
divided doses daily
• Anxiety (with symptoms such as palpitation, sweating, tremor): Oral, adult:
40 mg once daily; may increase to 40 mg 3 times daily, if necessary.
• Prophylaxis after infraction: Oral, adult: 40 mg 4 times daily for 2-3 days,
then 80 mg twice daily, beginning 5-21 days after infraction.
• Essential tremor: Oral, adult: initially 40 mg 2-3 times daily; maintenance
80-160 mg daily.
• Migraine prophylaxis: Oral, adult: 80-240 daily divided doses.
• Arrhythmias and thyrotoxic crisis: Intravenous injection; 1 mg over 1 minute.
• Cyanotic spells: Child, intravenous: 0.15-0.25 mg/kg/day in 4 divided dose,
not to exceed 1 mg for infants and 3 mg for children. Oral, child: 2-4 mg/kg/
day in 4 divided doses
• Infantile hemangioma: Oral, child: 1-2 mg/kg/day in 3 divided doses","Bradycardia, gastrointestinal disturbances including
nausea, vomiting, diarrhea, constipation, abdominal cramp, fatigue, cold
hands and feet, hypertriglyceridemia. Hallucination, nightmare, sexual
dysfunction.","Avoid with verapamil. Hypotensive effect
increases with diuretics, ACE inhibitors, Angiotensin II receptor antagonist,
calcium channel blocker. Atenolol may enhance bradycardia produced by
cardiac glycosides. Hypersensitivity to
catecholamine during withdrawal"
DILTIAZEM,"Tablet: 30 mg, 60 mg",Angina pectoris,"Avoid in acute porphyria, left ventricular
failure with pulmonary congestion, second- or third-degree AV block (unless
pacemaker fitted), severe bradycardia, sick sinus syndrome. Use caution
bradycardia (avoid if severe), first degree AV block, heart failure, prolonged
PR interval, significantly impaired left ventricular function. Pregnancy: avoid.
Hepatic impairment reduce dose. Renal impairment, start with smaller dose.","• Angina: Oral, adult: Initially 60 mg 3 times a day, adjusted according to
response; maximum 360 mg/day. Elderly: Initially 60 mg twice daily,
adjusted according to response; maximum 360 mg per day
• Oral, child: 1.5-2 mg/kg/day in 3-4 divided doses (maximum dose: < 6mg/
kg/day up to 360 mg/day","Asthenia, AV block, bradycardia, dizziness, gastro-intestinal
disturbances, headache, hot flushes, hypotension, malaise, edema (notably
of ankles), palpitation, Sino-atrial block",
VERAPAMIL,"Verapamil Hydrochloride: Tablet (immediate
release): 40 mg, 80 mg, 240 mg. Solution: 2.5 mg/ml
Verapamil injection should be protected from light.","Angina pectoris, supra ventricular arrhythmias, hypertension,
migraine prophylaxis, supraventricular tachycardia in children","Hypotension, bradycardia, second- and
third-degree heart block, sick sinus syndrome; cardiogenic shock, history
of heart failure , atrial flutter or fibrillation complicating Wolff-Parkinson-
White syndrome, acute porphyria. First-degree atrioventricular block, acute
phase of myocardial infarction (avoid if bradycardia, hypotension, or left
ventricular failure present), hepatic impairment; children (specialist advice
only); Pregnancy and breastfeeding: Avoid use in neonate and young infants.
Not to discontinue abruptly, chest pain may occur.","• Angina, supraventricular arrhythmia: Oral, adult: 40-120 mg 3 times daily
• Hypertension: Oral, adult: 240-480 mg daily in 2- 3 divided doses. By
slow intravenous injection over 2 minutes (3 minutes in elderly), 5 - 10 mg
(preferably with ECG monitoring)
• Paroxysmal tachyarrhythmia: slow intravenous injection, adult: initially
5-10 mg further 5 mg after 5-10 minutes if required over 2 minutes (over 3
minutes in elderly) under ECG monitoring.
• Supraventricular tachycardia: Child, intravenous: 0.1-0.3 mg/kg/dose may
be repeated in 30 min. Maximum first dose 5 mg, and second dose 10 mg
• Supraventricular arrhythmias: slow intravenous injection, adult: 5-10 mg,
over 2 minutes (over 3 minutes in elderly) under ECG monitoring","Constipation; less commonly nausea, vomiting, flushing,
headache, dizziness, fatigue, and ankle edema; rarely allergic reactions
including pruritus, urticaria, angioedema, and erythema multiforme (Stevens-
Johnson syndrome); myalgia, arthralgia, paresthesia, erythromelalgia;
increased prolactin concentration; gynecomastia and gingival hyperplasia
on long-term treatment; hypotension, heart failure, bradycardia, heart block,
and asystole (due to negative inotropic effect) with high doses.",
ADENOSINE,Injection: 6 mg/2 ml vial,"Paroxysmal supraventricular tachycardia (including Wolff-
Parkinson-White syndrome)","Pre-existing second or third degree AV
block, asthma and sick sinus syndrome. Use cautiously in arterial fibrillation
or flutter and heart transplant.","• Rapid intravenous injection into central or large peripheral vein: 3 mg over
2 seconds with cardiac monitoring; if necessary followed by 6 mg after 1-2
minutes and then by 12 mg after a further 1-2 minutes.
• Neonate, intravenous: 0.05 mg/kg over 1-2 sec may increase dose by 0.05
mg/kg every 2 mins. Maximum dose 0.25 mg/kg
• Child, intravenous: 0.1-0.2 mg/kg (initial maximum dose 6 mg) over 1-2 sec.
May increase dose by 0.05mg/kg every 2 mins to maximum of 0.25 mg/kg
Follow each dose with normal saline flush. Assess the cardiopulmonary and
respiratory status.","Chest pain, transient facial flush, bronchospasm,
nausea and severe bradycardia, difficult or labored breathing, chest tightness","Increased risk for higher degree of heart
block: carbamazepine. Increased risk of ventricular fibrillation with digoxin,
verapamil. Increased effects with dipyridamole. Methylxanthines decrease
the activity of adenosine
Patient’s information: Patient should report facial flushing, dizziness,
sweating, palpitations, and chest pain (usually transient)."
AMIODARONE,"Tablet: 100 mg, 200 mg; Solution: 25 mg/ml, 30
mg/ml, 50 mg/ml","Paroxysmal supraventricular, nodal and ventricular tachycardia,
atrial fibrillation or flutter, ventricular arrhythmia (unresponsive to others)
and ventricular fibrillation, all atrial and ventricular tachycardia","Avoid in sinus bradycardia, SA heart block,
Iodine sensitivity, cardiogenic shock, second or third degree AV block, thyroid
dysfunctions, severe hepatic, pneumonitis, pulmonary fibrosis, hypokalemia,
CHF (with inadequate compensation). Pregnancy: risk of neonatal goiter.
Breast feeding: avoid. Clinical monitoring (baseline and every 3 to 6 months)
of serum potassium; chest X-ray, pulmonary function tests (with diffusion
capacity), liver function test and thyroid function tests is recommended.
Toxicity is reversible when managed early.","• Arrhythmias: Oral, adult: 200 mg 3 times daily for 1 week reduced to 200
mg twice daily
• Ventricular fibrillation: intravenous infusion, adult: 300 mg over at least 3
minutes.
• Drug resistant refractory cardiac arrhythmia: Oral, child: < 1 year: 600-
800 mg/1.73m2/day in 1-2 divided dose for 1-14 days. > 1 years: 10-15 mg/
kg/day in 1-2 divided doses for -14 days and/or until adequate control is
achieved, then reduce to 5 mg/kg/day. Child, intravenous: 5 mg/kg over 30
min followed by continuous infusion at the rate of 5 mcg/kg/min. Maximum
dose: 15 mcg/kg/min or 20 mg/kg/day
• Infusion should be diluted in glucose 5%, concentration should not exceed
2 mg/ml.
Marked hypotension on IV administration.","Nausea, vomiting, raised serum transaminases,
bradycardia, ventricular arrhythmia, ventricular fibrillation. Neurologic
dysfunction (dizziness, paresthesia, tremor and involuntary movements, lack
of co-ordination, abnormal gait and ataxia), thyroid dysfunction, pulmonary
toxicity (pneumonitis and fibrosis) on long term use.","Inhibits CYP450 enzymes and may increase
concentrations of Digoxin, Methotrexate, Theophylline, Procainamide.
Increase risk of myopathy with simvastatin. Increased risk of bradycardia with
beta-blockers, calcium channel blockers. Increased risk of QT prolongation
with azoles, fluoroquinolones, macrolides
Patient’s information: Do not discontinue abruptly. Use sunscreen or stay
out of sun to prevent burns, use dark glasses to prevent photophobia. Skin
discoloration is usually reversible"
DIGOXIN,"Injection: 250 mcg/ml in 2-ml ampoule; Oral liquid: 50
mcg/ml; Tablet: 62.5 mcg, 250 mcg","Supraventricular arrhythmias, particularly atrial fibrillation;
heart failure
(considered for selected patients who remain symptomatic despite treatment
with an ACE inhibitor, a diuretic, and a suitable beta-blocker)","Avoid in hypertrophic obstructive
cardiomyopathy (unless also atrial fibrillation and heart failure); Wolff-
Parkinson-White syndrome or other accessory pathway, particularly if
accompanied by atrial fibrillation; ventricular tachycardia or fibrillation;
intermittent complete heart block; second-degree atrioventricular block.
Use caution in recent myocardial infarction; sick sinus syndrome; severe
Pulmonary disease; thyroid disease; the elderly (reduce dose); renal
impairment; avoid hypokalemia; avoid rapid intravenous administration
(nausea and increased risk of arrhythmias); Pregnancy (C) Breastfeeding:
use with caution. Obtain ECG after 6 hours to assess toxicity. Monitor apical
pulse for 1 full minute before administration .Withhold dose if pulse rate is
<60 bpm in an adult, <70 bpm is a child or <90 bpm in an infant. Monitor
blood pressure periodically, monitor ECG throughout IV administration and
6 hrs. after each dose. Therapeutic drug monitoring is advised in patient
receiving digoxin. Take missed doses within 12 hrs. of scheduled dose. Do
not double the dose.
Digoxin has been associated with an increased risk of falls in the elderly, so
patient and family should be advised for monitoring.","• Atrial fibrillation: Oral, adult: initially 1–1.5 mg in divided doses over 24
hours for rapid digitalization (or 250 mcg once or twice daily if digitalization
less urgent) followed by: 62.5–500 mcg daily (higher dose may be divided),
according to renal function and heart rate response; usual maintenance
dose: 125–250 mcg daily (lower dose more appropriate in the elderly).
• Emergency control of atrial fibrillation: intravenous infusion over at least 2
hours, adult: 0.75–1 mg.
NOTE. Infusion dose may need to be reduced if digoxin or other cardiac
glycoside has been given in previous 2 weeks.","Usually only with high doses; gastrointestinal disturbances
including anorexia, nausea, vomiting, diarrhea, and abdominal pain; visual
disturbances, headache, fatigue, drowsiness, confusion, dizziness, delirium,
hallucinations, depression; all arrhythmias except for rapidly conducted
atrial arrhythmias (atrial fibrillation and atrial flutter) and except Mobitz
type II second degree heart block; rarely rash, and intestinal ischemia;
gynecomastia on long-term use; thrombocytopenia reported.","When digoxin is administered with beta
blockers and verapamil, there is increased risk of AV block and bradycardia."
DISOPYRAMIDE,"Capsules: 100 mg, 150 mg; Injection: 10 mg in
5 ml ampoule.","Atrial and ventricular arrhythmias including those resistant to
lignocaine.","Avoid in preexisting second or third degree
AV block, cardiogenic shock, heart failure (can produce severe hypotension
due to negative inotropic properties). Renal or hepatic insufficiency, third
trimester of pregnancy, glaucoma, myasthenia gravis or urinary retention.
Use caution in the elderly and children because they may be more sensitive
to its effects.","Oral (immediate release), adult: 300-800 mg daily in
divided doses. Slow intravenous injection, adult: 2 mg/kg over at least 5
minutes to a maximum of 150 mg with ECG monitoring.
Take disopyramide on a regular schedule around the clock, unless otherwise directed by your doctor. If you miss a dose of disopyramide, take it if you
remember within 4 hours. If it has been more than 4 hours since your missed
dose, skip the missed dose and go back to your regular doses schedule. Do
not take 2 doses at once.","Angle-closure glaucoma, antimuscarinic effects, AV block,
blurred vision, cholestatic jaundice, dry mouth, gastro-intestinal irritation,
hypoglycemia, hypotension, myocardial depression, psychosis, urinary
retention, ventricular tachycardia, ventricular fibrillation or torsade de
pointes (usually associated with prolongation of QRS complex or QT interval).","The effects of disopyramide can increase with
metoprolol and alcohol (minor).
Patient’s information: Do not drive, operate machinery. Do not stop the drug
suddenly."
ISOPRENALINE,Injection: 0.2 mg/ml. Tablet: 20 mg,"Torsade de pointes, bradycardia in patients with heart block,
control attacks of Stokes Adam syndrome.","Preexisting cardiac arrhythmia (especially
tachycardia).","• Intravenous injection, adult: 0.5-10 mcg/minute
• Oral, adult: initially 30 mg every 6hours, range, 90-840 mg daily (but oral
route is rarely used).","Tachycardia, hypotension, arrhythmia, tremor, sweating",
LIDOCAINE/ LIGNOCAINE,Injection: 20 mg/ml in 5 ml ampoule,"Ventricular arrhythmias (especially after myocardial infarction),
local anesthesia","Avoid in Sino atrial nodal disorder, any
grade of atrioventricular block or any other type of conduction disturbances,
severe myocardial depression, acute porphyria or hypovolemia, Wolff-
Parkinson-White syndrome, Stokes Adams syndrome. Lower dosage
in congestive heart failure and following cardiac surgery, bradycardia,
hepatic impairment, severe respiratory depression, the elderly, pregnancy
and breastfeeding, hypothermia, electrolyte imbalance (potassium and
magnesium imbalance). Monitor for ECG","• Ventricular arrhythmias: intravenous injection, adult: loading dose of 50-
100 mg (or 1-1.5 mg/kg) at a rate of 25-50 mg/minute, followed immediately
by intravenous infusion of 1-4 mg/minute, with ECG monitoring of all
patients (reduce infusion dose if required for longer than 24 hours).
• Intravenous, child: 1 mg/kg/dose slow IV, may repeat 10-15 min. Maximum
total dose: 3-5 mg/kg within first hour.
Lidocaine has a short duration of action (15-20 minutes), if the intravenous
infusion cannot be given immediately, the initial intravenous injection of 50-
100 mg can be repeated once or twice at intervals of not less than 10 minutes.","Flushing or redness, dizziness, paresthesia, itching,
drowsiness, confusion, apnea, respiratory depression, coma, seizure and
convulsions, hypotension, arrhythmia, heart block, cardiovascular collapse,
bradycardia (may lead to cardiac arrest), nystagmus (often an early sign of
lidocaine overdose).","Increased cardiac depression and toxicity with
amiodarone, phenytoin, procainamide, propranolol. Increased neuromuscular
blockade with neuromuscular blockers. Increased hypotensive effects with
MAO inhibitors, antihypertensive. Increased effects of lorazepam (additive
CNS depressants) and alprazolam effects (increase CNS side effects)"
PROCAINAMIDE,"Solution: 100 mg /ml in 10 ml ampoule; tablet:
250 mg","Severe ventricular arrhythmias (especially those resistant to
lidocaine or those appearing after myocardial infarction); atrial tachycardia,
atrial fibrillation; maintenance of sinus rhythm after cardioversion of atrial
fibrillation.","Avoid in Torsade’s de pointes, SLE, 2nd and
3rd degree heart block, heart failure, hypotension, elderly, renal impairment,
hepatic impairment, asthma, myasthenia gravis, pregnancy, breastfeeding,
electrolyte imbalance (hyperkalemia, hypokalemia, magnesium disorders).
Discontinue treatment in case of drop in leukocyte and platelet count.
Perform complete blood count twice a week for 3 months.","• Oral, adult:, up to 50 mg/kg daily in divided doses every 3-6 hours, preferably
controlled by monitoring plasma-procainamide concentration (therapeutic
concentration usually within 3-10 mcg/ml); in atrial arrhythmia, higher
doses may be required.
• Slow intravenous injection, adult: rate not exceeding 50 mg/minute, 100
mg repeated at 5 minute intervals until arrhythmia controlled; maximum 1g.
• Intravenous infusion, adult: 500-600 mg over 25-30 minutes, followed
by maintenance at rate of 2-6 mg/minute, then if necessary oral anti-
arrhythmic treatment as above, starting 3-4 hours after infusion.
When using IV, monitor continuously by ECG.","Nausea, vomiting, diarrhea, anorexia, rash, pruritus,
urticarial, flushing, fever, myocardial depression, heart failure, angioedema,
depression, dizziness, psychosis; blood disorders including leukopenia,
hemolytic anemia and agranulocytosis after prolonged treatment, SLE like
syndrome, high plasma procainamide concentration may impair cardiac
conduction.
Patient’s information: A wax matrix may appear in stools. Do not discontinue
without prescriber’s approval. Notify prescriber if lupus-like symptoms
appear, leucopenia (sore mouth, gums, and throat) or thrombocytopenia,
bleeding, bruising). Avoid driving until product effect is known",
CAPTOPRIL,"Tablet: 25 mg, 50 mg","Mild to moderate essential hypertension, adjunctive treatment
in congestive heart failure, severe hypertension resistant to other treatment,
following myocardial infraction, diabetic nephropathy in insulin dependent
diabetes.","Avoid in bilateral renal artery stenosis,
pregnancy, hyperkalemia, pre-existing cough. Use caution in severe or
symptomatic aortic stenosis. Monitor renal function before and during
treatment.","Hypertension: Oral, adult: initially 5 mg once daily, lower
initial dose if used in addition to diuretic or in renal impairment; usual
maintenance dose 20 mg once daily; maximum 40 mg once daily. Take 1-2
hours after meals.","alopecia, rash, profound hypotension (usually with first
dose, especially in patients taking high dose of diuretics on low sodium
diet, dehydration, taste impairment, leucopenia, proteinuria, persistent dry
cough, sleep disorder, dyspnea, pallor, neutropenia, Raynaud’s syndrome.","With potassium sparing diuretics hyperkalemia
may result especially in existing renal impairment. With alcohol, alpha
blocker, general anesthetic, angiotensin 2 receptor antagonist, beta blocker,
calcium channel blocker, hypotensive effect is increased.
Patient’s information: Avoid activities that require concentration, the person
may feel dizziness, fainting, and light headedness. Not to discontinue
product abruptly, if dose is missed, take as soon as remembered but do not
double the doses. Rise slowly to sitting or standing position to minimize
orthostatic hypotension"
ENALAPRIL,"Tablets: 2.5 mg, 5 mg, 10 mg","Hypertension, heart failure","Avoid in bilateral renal artery stenosis,
pregnancy, hyperkalemia, pre-existing cough. Use caution in severe or
symptomatic aortic stenosis. Monitor renal function before and during
treatment. Avoid in renal
impairment when GFR < 30 ml/1.73m2/min. use cautious in impaired liver
function and neonates. Monitor renal function.","• Hypertension: Oral, adult: 5 mg once daily, if used in addition to diuretic or
in renal impairment or in elderly patient, 2.5 mg daily initially, maintenance
dose 20 mg once daily: maximum 40 mg once daily. Oral, child: 0.1- 0.6 mg/
kg/day in 1-2 divided doses. Maximum dose 40 mg/day","Dizziness, headache, nausea, diarrhea, dry cough,
fatigue, asthenia, angioedema, urticaria, rashes, hyperkalemia, impaired
perspiration","With potassium sparing diuretics hyperkalemia
may result especially in existing renal impairment. With alcohol, alpha
blocker, general anesthetic, angiotensin 2 receptor antagonist, beta blocker,
calcium channel blocker, hypotensive effect is increased.
Patient’s information: Avoid activities that require concentration, the person
may feel dizziness, fainting, and light headedness. Not to discontinue
product abruptly, if dose is missed, take as soon as remembered but do not
double the doses. Rise slowly to sitting or standing position to minimize
orthostatic hypotension.  Patient’s information: Avoid activities requiring coordination, the drug may
cause skin rash, or angioedema. Discontinue if angioedema occurs. Patient’s information: Avoid activities requiring coordination, the drug may
cause skin rash, or angioedema. Discontinue if angioedema occurs."
LISINOPRIL,"Tablets: 2.5 mg, 5 mg, 10 mg, 20 mg","Essential and renovascular hypertension, adjunctive treatment
in congestive heart failure, following myocardial infarction in hemodynamically
stable patients, diabetic nephropathy in normotensive insulin-dependent
and hypertensive non-insulin dependent diabetes mellitus.","Avoid in pregnancy, hereditary
angioedema, breast-feeding. Avoid in bilateral renal artery stenosis,
pregnancy, hyperkalemia, pre-existing cough. Use caution in severe or
symptomatic aortic stenosis. Monitor renal function before and during
treatment.","• Hypertension: initially 10 mg daily, if used in addition to diuretic or in
patient with renal impairment, initially 2.5-5 mg daily; usual maintenance
dose 20 mg once daily( maximum 80 mg daily).
• Heart failure (adjunct): Oral, adult: initially 2.5 mg daily; usual maintenance
dose 5-20 mg daily.
• Diabetic nephropathy: Oral, adult: initially 2.5 mg daily adjusted to achieve
diastolic blood pressure below 75 mm Hg in normotensive insulin dependent
diabetes and below 90 mm Hg in hypertensive non-insulin dependent
diabetes; usual dose range 10-20 mg daily.
• Prophylaxis after myocardial infarction: Oral, adult: 5 mg within 24 hours if
systolic blood pressure over 120 mm Hg, followed by further 5 mg 24 hours
later, then 10 mg after a further 24 hours, and continuing with 10 mg once
daily for 6 weeks; if systolic blood pressure 100-120 mm Hg, initially 2.5 mg,
increasing to maintenance dose of 5 mg once daily.","Profound hypotension, hyperkalemia, rash, tachycardia,
myocardial infarction, sweating, impotence, dizziness, upper respiratory tract
infection, fatigue, diarrhea.
Patient’s information: Drink plenty of water each day while taking the
medication. Avoid potassium rich diet.",
RAMIPRIL,"Tablets/Capsules: 1.25 mg, 2.5 mg, 5 mg, 10 mg","Hypertension, congestive heart failure, prophylaxis after
myocardial infarction, prophylaxis of cardiovascular events or stroke.","Avoid in pregnancy, hereditary
angioedema, breast-feeding. Avoid in bilateral renal artery stenosis,
pregnancy, hyperkalemia, pre-existing cough. Use caution in severe or
symptomatic aortic stenosis. Monitor renal function before and during
treatment.","• Hypertension: Oral, adult: initially 1.25 mg once daily, increased at intervals
of 1-2 weeks; usual range 2.5-5 mg once daily; maximum 10 mg once daily.
• Congestive heart failure (adjunct): Oral, adult: initially 1.25 mg once daily
under close medical supervision, increased if necessary at intervals of 1-2
weeks; maximum 10 mg daily.
• Prophylaxis after myocardial infarction: Oral, adult: initially 2.5 mg twice
daily, increased after 2 days to 5 mg twice daily; maintenance 2.5-5 mg
twice daily.
• Prophylaxis of cardiovascular events or stroke: initially 2.5 mg once daily,
increased after 1 week to 5 mg once daily, then increased after a further 3
weeks to 10 mg once daily.","Dizziness, headache, nausea, diarrhea, dry cough,
fatigue, asthenia, angioedema, urticaria, rashes, hyperkalemia, impaired
perspiration",
IRBESARTAN,"Tablet: 75 mg, 150 mg","Hypertension, hypertension in patients receiving hemodialysis,
renal disease in hypertensive with type 2 diabetes mellitus","Avoid in renal artery stenosis, moderate to
severe renal impairment or liver impairment, aortic or mitral valve stenosis.","• Hypertension: Oral, adult (18–74 years): Initially 150 mg once daily,
increased if necessary to 300 mg once daily.
• Hypertension: Oral, adult (>75 years): Initially 75–150 mg once daily,
increased if necessary to 300 mg once daily.
• Hypertension in patients receiving hemodialysis: Oral, adult: Initially 75–
150 mg once daily, increased if necessary to 300 mg once daily.
• Renal disease in hypertensive type 2 diabetes mellitus: Oral, adult (18–74
years): Initially 150 mg once daily, increased if tolerated to 300 mg once
daily.
• Renal disease in hypertensive type 2 diabetes mellitus: Oral, adult (>75
years): Initially 75–150 mg once daily, increased if tolerated to 300 mg once
daily","Fatigue, musculoskeletal pain, nausea, vomiting",
LOSARTAN,"Tablet: 25 mg, 50 mg","Hypertension, congestive heart failure, diabetic nephropathy in
type 2 diabetes mellitus","Avoid in pregnancy and breast feeding,
children of 6 years or younger, CHF, renal impairment (GFR < 30 ml/
min/1.73m2, renal artery stenosis. Use caution in moderate to severe renal
impairment or liver impairment, aortic or mitral valve stenosis.","• Hypertension: Oral, adult: 50 mg (in intravascular volume depletion initially/
elderly >75 years: initially 25 mg) once daily for several weeks, then increase
up to 150 mg in weekly interval if necessary and tolerated. Oral, Child: 0.75
mg/kg/dose once daily up to 50 mg/day. Maximum dose: 1.4 mg/kg/day or
100 mg/day
• Diabetic nephropathy in DM type II: Oral, adult: initially 50 mg (elderly >75
years: 25 mg) once daily for several weeks then increase up to 100 mg in
weekly interval if necessary and tolerated.
• CHF with ACE inhibitors unsuitable or contraindicated: Oral, adult: Initially
12.5 mg once daily, increase if tolerated to up to 150 mg once daily, to be
increased daily.","Hypotension, dizziness, diarrhea, pruritus, rash, taste
disturbance, thrombocytopenia, photosensitivity","With lithium, increases lithium toxicity. With
hypertensive agents, increases antihypertensive effect. Avoid use in Aliskiren.
Patient’s information: Rise slowly to sitting or standing position to minimize
orthostatic hypotension. Avoid sunlight, salt substitutes, alcohol, over the
counter products unless approved by prescriber."
TELMISARTAN,"Tablet: 20 mg, 40 mg, 80 mg","Hypertension, prevention of cardiovascular events in patients
with established atherosclerotic cardiovascular disease or type 2 diabetes
mellitus with target-organ damage.","Avoid in bilateral renal artery stenosis, pregnancy and
breast feeding, in severe impairment or biliary obstruction.","• Hypertension: Oral, adult: Initially 20–40 mg once daily for at least 4 weeks,
increased if necessary up to 80 mg once daily
• Prevention of cardiovascular events in patients with established
atherosclerotic cardiovascular disease or type 2 diabetes mellitus with
target-organ damage: Oral, adult: 80 mg once daily
• Severe renal impairment: Oral, adult: Initial dose of 20 mg once daily.","Arthralgia, back pain, chest pain, eczema, gastro-intestinal
disturbances, influenza like symptoms, leg cramps, myalgia, pharyngitis,
sinusitis, urinary-tract infection, abnormal vision, anxiety, dry mouth,
increased sweating, tendonitis- like symptoms, vertigo","Avoid use with ACE inhibitor, aspirin, acebutolol,
aceclofenac, amiloride, atenolol, chlorthiazide, digoxin, enoxaparin,
furosemide, ibuprofen, insulin, irbesartan, ketorolac, piroxicam, potassium
chloride, spironolactone, sulfasalazine, torsemide, trimethoprim."
VALSARTAN,"Tablet: 40 mg, 80 mg, 160 mg","Hypertension, myocardial infarction with left ventricular failure
or left ventricular systolic dysfunction.","Avoid in pregnancy and breast feeding,
children of 6 years or younger, CHF, renal impairment (GFR < 30 ml/
min/1.73m2, renal artery stenosis. Use caution in moderate to severe renal
impairment or liver impairment, aortic or mitral valve stenosis. Avoid in biliary
cirrhosis, cholestasis, severe hepatic impairment, renal impairment when
eGFR <10 ml/min/ 1.73m2. Use caution in mild to moderate renal and hepatic
impairment.","• Hypertension: Oral, adult: 80 mg once daily (initially 40 mg once daily in
intravascular volume depletion); if necessary increased after at least 4
weeks to 160 mg daily.
• Myocardial infarction: Oral, adult: initially 20 mg twice daily increased over
several weeks to 160 mg twice daily if tolerated.
• Mild to moderate hepatic impairment: maximum dose of 80 mg daily.
Take medicine before meal.","Hypotension, dizziness, diarrhea, pruritus, rash, taste
disturbance, thrombocytopenia, photosensitivity",Food interferes with absorption.
